Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638b6cab1acdbd4569d77105,5a71d58c6fc3c60001f96b6c,APPROVED,2022-12-03T15:35:12.218000Z,2022-12-03T15:43:22.857000Z,2022-12-03T18:10:15.758000,2022-12-03T15:43:23.246721Z,491,C2TJMYKC,193,"Portuguese, English",34,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
638b6d02c88b128eee116628,5e2756fb233c6c98ac7eb934,APPROVED,2022-12-03T15:36:34.270000Z,2022-12-03T15:48:43.580000Z,2022-12-03T18:10:15.861000,2022-12-03T15:48:44.013424Z,730,C2TJMYKC,148,"English, Spanish, French, Portuguese",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
638b6d09302d9f3d047c331c,5f5065d2fd3fc11d40575ce7,APPROVED,2022-12-03T15:36:41.204000Z,2022-12-03T15:45:16.901000Z,2022-12-03T18:10:15.965000,2022-12-03T15:45:17.287704Z,516,C2TJMYKC,121,"Spanish, English",23,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,DATA_EXPIRED
638b6d2d3b4bb44c45c487ac,5f3d220abc6c4a0318e672f8,APPROVED,2022-12-03T15:39:19.867000Z,2022-12-03T15:50:15.902000Z,2022-12-03T18:11:12.176000,2022-12-03T15:50:16.246759Z,657,C2TJMYKC,262,"English, Italian",29,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
638b6d46760d36135ec487d6,604def7a76cb955e441a7b40,APPROVED,2022-12-03T15:43:39.378000Z,2022-12-03T15:52:09.318000Z,2022-12-03T18:11:12.279000,2022-12-03T15:52:09.738452Z,510,C2TJMYKC,89,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
638b6d5062ea62d9f40732ad,60f97c4d9f14764c11aefeea,APPROVED,2022-12-03T15:37:55.364000Z,2022-12-03T15:55:28.997000Z,2022-12-03T18:10:16.070000,2022-12-03T15:55:29.452061Z,1054,C2TJMYKC,38,"Afrikaans, English",29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
638b6d5751c712eabc6b9b45,60d99408d8ecc5cfef9b89be,APPROVED,2022-12-03T15:38:05.696000Z,2022-12-03T15:53:05.296000Z,2022-12-03T18:10:16.175000,2022-12-03T15:53:05.667840Z,900,C2TJMYKC,20,English,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
638b6d60519fe876ad3fe270,5be44162fa676700011d80d7,REJECTED,2022-12-03T15:38:16.748000Z,2022-12-03T15:46:17.608000Z,2022-12-04T16:00:34.961000Z,2022-12-03T15:46:17.955000Z,481,NOCODE,436,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
638b6d72327002d709c7c35b,61503885693f6ebde3f2fcbc,APPROVED,2022-12-03T15:38:26.607000Z,2022-12-03T15:53:27.715000Z,2022-12-03T18:11:12.386000,2022-12-03T15:53:28.091678Z,902,C2TJMYKC,200,"English, Spanish",21,Female,Other,Argentina,Spain,Argentina,Spanish,Yes,DATA_EXPIRED
638b6d73d26a442624b76696,6172d51173f6962cef6b18cf,APPROVED,2022-12-03T15:38:27.305000Z,2022-12-03T15:48:29.292000Z,2022-12-03T18:11:12.488000,2022-12-03T15:48:29.746525Z,602,C2TJMYKC,130,"English, Portuguese",30,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
638b6d7491e375bd8f48bea7,5e5a624e2b6973000a3082ac,APPROVED,2022-12-03T15:38:36.534000Z,2022-12-03T15:51:08.384000Z,2022-12-03T18:11:12.592000,2022-12-03T15:51:08.762155Z,752,C2TJMYKC,419,English,59,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638b6db2d53afdeee07683e0,6137693b812794829030c3bc,APPROVED,2022-12-03T15:39:30.736000Z,2022-12-03T15:57:54.674000Z,2022-12-03T18:11:12.697000,2022-12-03T15:57:55.057982Z,1104,C2TJMYKC,59,"English, Portuguese",21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
638b6dfa1acdbd4569d77126,5f7a656d41d27f6c831fdb1f,APPROVED,2022-12-03T15:40:42.237000Z,2022-12-03T15:48:31.811000Z,2022-12-03T18:11:12.796000,2022-12-03T15:48:32.270923Z,470,C2TJMYKC,151,"Portuguese, English",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
638b6e0dd23111cd2728573b,6118e4351fdd4ce63d41ec30,APPROVED,2022-12-03T15:41:08.553000Z,2022-12-03T15:47:40.283000Z,2022-12-03T18:11:12.901000,2022-12-03T15:47:40.683024Z,392,C2TJMYKC,72,"Polish, English",27,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
638b6f5bfd9e727605d95ca4,60d3acd071e98de7a42743ac,APPROVED,2022-12-03T15:46:35.532000Z,2022-12-03T16:02:54.588000Z,2022-12-03T18:11:13.004000,2022-12-03T16:02:55.025705Z,980,C2TJMYKC,169,"English, Hungarian",19,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
638b6ff84bdc23a6d5d770d0,6155796f5678e21525d664b9,APPROVED,2022-12-03T15:49:16.316000Z,2022-12-03T16:12:39.882000Z,2022-12-03T18:11:13.110000,2022-12-03T16:12:40.305252Z,1404,C2TJMYKC,218,English,40,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Part-Time
638b70f5f80ddefbda6dc3a7,5ed042d7d3825010f1ec701f,APPROVED,2022-12-03T15:53:29.755000Z,2022-12-03T16:10:56.112000Z,2022-12-03T18:11:13.210000,2022-12-03T16:10:56.449319Z,1047,C2TJMYKC,107,"English, Portuguese, Spanish",20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
638b71175fefbc429cdc3549,5dbd7193e8add82b72d795f2,APPROVED,2022-12-03T15:53:59.860000Z,2022-12-03T16:03:59.860000Z,2022-12-03T18:11:13.314000,2022-12-03T16:04:00.255500Z,600,C2TJMYKC,839,English,35,Female,White,Switzerland,Switzerland,United States,Italian,No,Unemployed (and job seeking)
638b72816329fbec42f1d82c,610cda1332fb63830158c55d,APPROVED,2022-12-03T16:00:01.109000Z,2022-12-03T16:23:41.047000Z,2022-12-03T18:11:17.218000,2022-12-03T16:23:41.406835Z,1420,C2TJMYKC,528,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
638b73bfa99d270e3ec7c36b,5f4e76eff69af505fa21da55,APPROVED,2022-12-03T16:05:24.342000Z,2022-12-03T16:15:27.481000Z,2022-12-03T18:11:17.323000,2022-12-03T16:15:27.935882Z,604,C2TJMYKC,388,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638b747047431e008abc4d93,58f669cefb4d7500014af69b,APPROVED,2022-12-03T16:09:03.613000Z,2022-12-03T16:14:49.296000Z,2022-12-03T18:11:17.427000,2022-12-03T16:14:49.647352Z,346,C2TJMYKC,2210,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638b76052d27822266116626,5f761e5106b786071f45b4aa,APPROVED,2022-12-03T16:15:01.490000Z,2022-12-03T16:56:02.032000Z,2022-12-03T18:11:17.530000,2022-12-03T16:56:02.534431Z,2461,NOCODE,639,"English, German",25,Male,White,Poland,Poland,Poland,Polish,No,DATA_EXPIRED
638b760540e71b534e6b9b77,601129f77e0c21000b0c408a,APPROVED,2022-12-03T16:22:47.530000Z,2022-12-03T16:58:17.812000Z,2022-12-03T18:11:17.635000,2022-12-03T16:58:18.161284Z,2131,NOCODE,577,"Afrikaans, English",23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
638b7e5c0da1494df361e19f,5f9aba6600cdf11f1c9b915c,APPROVED,2022-12-03T16:50:36.062000Z,2022-12-03T17:51:47.899000Z,2022-12-03T17:51:48.482000Z,,3672,Manual Completion,890,"English, German, Polish, Portuguese, Russian",27,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
638b8dd9b2282fe74adc3523,60a536ff441988f94dfa48b3,APPROVED,2022-12-03T17:56:46.247000Z,2022-12-03T18:07:35.075000Z,2022-12-03T18:11:17.739000,2022-12-03T18:07:35.560674Z,649,C2TJMYKC,45,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
638b8de83ba3a61d9d08cee3,6092dbc468528c0b8e3841ea,APPROVED,2022-12-03T17:57:06.654000Z,2022-12-03T18:09:58.499000Z,2022-12-03T18:11:17.841000,2022-12-03T18:09:58.955387Z,772,C2TJMYKC,48,"English, Polish",24,Male,White,Poland,Poland,Poland,Polish,Yes,Other
638b8dea02cbdb7b3a971780,5cd1bdedf2156c00013b0152,APPROVED,2022-12-03T17:56:58.839000Z,2022-12-03T18:03:44.430000Z,2022-12-03T18:11:17.949000,2022-12-03T18:03:44.839543Z,406,C2TJMYKC,461,"Spanish, English",27,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
638b8dee140ede77bfb47e38,613a7d067a00c792ee41f36d,APPROVED,2022-12-03T17:57:02.420000Z,2022-12-03T18:04:59.464000Z,2022-12-03T18:11:18.052000,2022-12-03T18:04:59.857280Z,478,C2TJMYKC,211,"Spanish, English",22,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
638b8e022575044c03d1bf6c,5fb3a8e0bb651604a052d591,APPROVED,2022-12-03T17:57:22.704000Z,2022-12-03T18:04:28.237000Z,2022-12-03T18:11:18.156000,2022-12-03T18:04:28.636133Z,426,C2TJMYKC,155,"Polish, English",20,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
638b8e03f2b0b4f3fc345022,613ba0bbdb8014e20d78002c,APPROVED,2022-12-03T17:57:23.017000Z,2022-12-03T18:04:50.679000Z,2022-12-03T18:11:18.258000,2022-12-03T18:04:51.045796Z,448,C2TJMYKC,151,"Spanish, English",22,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
638b8e079f188392d66b9b4d,610b25431ef1cc4968a3f7d4,APPROVED,2022-12-03T17:57:27.581000Z,2022-12-03T18:05:36.833000Z,2022-12-03T18:11:18.365000,2022-12-03T18:05:37.241330Z,490,C2TJMYKC,117,"Portuguese, Spanish, English",19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
638b8e0d5d71f12c06bdcd6d,611ec3be116703174027b104,APPROVED,2022-12-03T17:57:33.940000Z,2022-12-03T18:11:52.592000Z,2022-12-03T18:25:26.493000,2022-12-03T18:11:53.250661Z,859,C2TJMYKC,98,English,25,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
638b8e0f0b19d1150dc7c3ad,601913327bc70701722ecd88,APPROVED,2022-12-03T17:57:35.475000Z,2022-12-03T18:03:53.509000Z,2022-12-03T18:11:18.466000,2022-12-03T18:03:53.898184Z,379,C2TJMYKC,190,English,26,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
638b8e20e24bfc6f39229ea8,602aae3eaa844c11d05a2f49,APPROVED,2022-12-03T17:57:54.212000Z,2022-12-03T18:03:40.378000Z,2022-12-03T18:11:18.573000,2022-12-03T18:03:40.772745Z,347,C2TJMYKC,175,"Czech, English, French, German, Italian, Spanish, Russian, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638b8e218bdc8f14e019b568,5f54c086c8cfea824fed2cc3,APPROVED,2022-12-03T17:57:53.410000Z,2022-12-03T18:15:41.366000Z,2022-12-03T18:25:26.614000,2022-12-03T18:15:41.762886Z,1068,C2TJMYKC,287,"English, Greek",56,Female,White,Australia,Greece,Greece,Greek,No,Full-Time
638b8e257f8cc1c5e8229eb0,6129d3b046b1f98f16b1d9d3,APPROVED,2022-12-03T17:58:25.108000Z,2022-12-03T18:16:14.546000Z,2022-12-03T18:25:26.730000,2022-12-03T18:16:14.923961Z,1070,C2TJMYKC,63,English,21,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
638b8e2648dc02c187971736,5f9d75b1ef3e6729bdd5e4a5,APPROVED,2022-12-03T17:57:58.373000Z,2022-12-03T18:08:32.774000Z,2022-12-03T18:11:13.415000,2022-12-03T18:08:33.161262Z,635,C2TJMYKC,213,"English, Portuguese, Spanish",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
638b8e2e6ea8960abab28ee5,5f8f7b6a2650711e2238f6d5,APPROVED,2022-12-03T17:58:06.808000Z,2022-12-03T18:15:27.153000Z,2022-12-03T18:25:26.849000,2022-12-03T18:15:27.498472Z,1041,C2TJMYKC,168,"Spanish, Portuguese, English",29,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
638b8e3c667722d380524f3d,5ec54d65293dfe4dded54509,APPROVED,2022-12-03T17:58:29.388000Z,2022-12-03T18:09:50.084000Z,2022-12-03T18:11:18.685000,2022-12-03T18:09:50.418509Z,681,C2TJMYKC,116,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
638b8e49d83fa08f6f6b9b9f,6130faf8d11c295156526693,APPROVED,2022-12-03T17:58:35.782000Z,2022-12-03T18:05:41.805000Z,2022-12-03T18:11:13.516000,2022-12-03T18:05:42.160236Z,427,C2TJMYKC,151,"English, Spanish",25,Female,Mixed,Chile,Chile,Chile,Spanish,Yes,Other
