Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637d12221ad2843a917366d5,60e07fb75b201859ff688f91,APPROVED,2022-11-22T18:17:30.141000Z,2022-11-22T18:28:36.217000Z,2022-11-22T19:03:25.620000,2022-11-22T18:28:36.596662Z,667,C2TJMYKC,108,"Afrikaans, English",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
637d172f657e9b6a8d146cf1,5d72d4c405a71e00015a7a50,APPROVED,2022-11-22T18:39:28.395000Z,2022-11-22T18:51:02.216000Z,2022-11-22T19:18:06.256000,2022-11-22T18:51:02.686521Z,694,NOCODE,491,"English, Portuguese, Spanish",43,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
637d17302545e53238afc4d0,5fb12ac6083ddf3caf34d599,APPROVED,2022-11-22T18:38:40.050000Z,2022-11-22T18:48:46.432000Z,2022-11-22T19:18:06.385000,2022-11-22T18:48:47.011946Z,607,NOCODE,101,"English, Spanish, Catalan",21,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
637d17315fc24734c9a7f295,5ebabd40d9ef2902351e4445,APPROVED,2022-11-22T18:38:41.246000Z,2022-11-22T18:47:25.416000Z,2022-11-22T19:18:06.517000,2022-11-22T18:47:25.840859Z,525,NOCODE,255,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
637d1732fcacbc53ee89b62e,5f30c06d1cdf4953b62ae475,APPROVED,2022-11-22T18:38:44.763000Z,2022-11-22T18:55:15.287000Z,2022-11-22T19:18:06.637000,2022-11-22T18:55:17.228008Z,991,NOCODE,191,"Spanish, English",23,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
637d1e277c101240d68b4df4,5ea9ac27abf6101099ff0360,APPROVED,2022-11-22T19:08:34.056000Z,2022-11-22T19:16:09.531000Z,2022-11-22T19:18:06.760000,2022-11-22T19:16:09.948460Z,456,NOCODE,294,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
637d1e27b411a96e370c379e,6063a3fd79f4debb67ffdb23,APPROVED,2022-11-22T19:08:35.712000Z,2022-11-22T19:18:02.274000Z,2022-11-22T19:21:03.235000,2022-11-22T19:18:02.600992Z,567,NOCODE,238,"English, French, Portuguese",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
637d2155f1b110b6e89de94b,60f408c8685211bbaf183509,APPROVED,2022-11-22T19:22:04.212000Z,2022-11-22T19:32:27.070000Z,2022-11-22T21:22:52.471000,2022-11-22T19:32:27.506827Z,623,NOCODE,152,English,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
637d233b86a48ede1f09f31e,5f99dc8aa866bf0bf2d60f46,APPROVED,2022-11-22T19:30:09.229000Z,2022-11-22T19:54:40.158000Z,2022-11-22T21:22:52.596000,2022-11-22T19:54:40.533525Z,1471,NOCODE,271,"Hungarian, English, German",20,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
637d3982e39ec546d94adc2f,5baf6705848bbd0001d6fc8a,APPROVED,2022-11-22T21:13:01.855000Z,2022-11-22T21:30:03.496000Z,2022-11-23T18:48:50.290000,2022-11-22T21:30:03.844979Z,1022,NOCODE,1129,"German, Italian, English, French, Polish",27,Female,White,Poland,Poland,Poland,English,No,Full-Time
