Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638cfd8010fc3535df722ca4,6341258618bd26e47d901d74,APPROVED,2022-12-04T20:05:20.257000Z,2022-12-04T20:12:03.242000Z,2022-12-04T21:15:57.340000,2022-12-04T20:12:03.663269Z,403,C1GK0VPE,65,"English, Dutch",38,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
638cfd816f247d078cccdc5f,5f3bd18346aeb9368cb642f9,APPROVED,2022-12-04T20:05:21.017000Z,2022-12-04T20:16:14.188000Z,2022-12-04T21:15:57.684000,2022-12-04T20:16:14.612567Z,654,C1GK0VPE,58,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
638cfd822d2bb7e9a2987593,5e0e059aac9e1656637773d1,APPROVED,2022-12-04T20:05:22.651000Z,2022-12-04T20:12:42.432000Z,2022-12-04T21:15:57.795000,2022-12-04T20:12:42.854008Z,440,C1GK0VPE,241,"English, Hungarian",24,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
638cfd82d61fe0d502f29cf2,5fc44d83862e3e79b02e0438,APPROVED,2022-12-04T20:05:22.974000Z,2022-12-04T20:17:41.437000Z,2022-12-04T21:15:57.909000,2022-12-04T20:17:41.811225Z,739,C1GK0VPE,115,"English, Spanish",23,Male,Other,Chile,Chile,Chile,Spanish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638cfd836e372da3677c0e00,61133b44c0f877a21f27c3ee,APPROVED,2022-12-04T20:05:28.053000Z,2022-12-04T20:16:26.656000Z,2022-12-04T21:15:58.044000,2022-12-04T20:16:27.035444Z,659,C1GK0VPE,51,"Spanish, English",22,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
638cfd83804c2d73a3624113,5f949261b23c792dafe395bc,APPROVED,2022-12-04T20:05:23.400000Z,2022-12-04T20:14:58.870000Z,2022-12-04T21:16:07.219000,2022-12-04T20:14:59.341851Z,576,C1GK0VPE,347,"English, Polish",26,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
638cfd84808869a4c378fec6,6106a6781a1f8976c5b3d045,APPROVED,2022-12-04T20:05:26.886000Z,2022-12-04T20:13:09.247000Z,2022-12-04T21:15:58.157000,2022-12-04T20:13:09.602383Z,463,C1GK0VPE,164,"English, Polish",19,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cfd84b287df281ef29d2a,608aa18a3c2dfd212a1a77a9,APPROVED,2022-12-04T20:05:24.318000Z,2022-12-04T20:11:43.450000Z,2022-12-04T21:16:07.344000,2022-12-04T20:11:43.845567Z,380,C1GK0VPE,285,"English, Portuguese, Spanish",23,Female,Mixed,Netherlands,Portugal,Portugal,Portuguese,Yes,Full-Time
638cfd853aae1963279a627f,6137252658a821dab0cf73a9,APPROVED,2022-12-04T20:05:25.975000Z,2022-12-04T20:16:27.786000Z,2022-12-04T21:15:58.280000,2022-12-04T20:16:28.137896Z,662,C1GK0VPE,362,"English, French",31,Male,White,France,France,France,French,No,Full-Time
638cfd8656f9ad1afa80e3c7,5faf92156055b1232afd56b9,APPROVED,2022-12-04T20:05:26.882000Z,2022-12-04T20:12:37.612000Z,2022-12-04T21:15:58.390000,2022-12-04T20:12:38.064763Z,431,C1GK0VPE,297,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cfd868b6f8d686ebf2fa4,5f6ea775bc475b407020431f,APPROVED,2022-12-04T20:05:39.212000Z,2022-12-04T20:20:10.035000Z,2022-12-04T21:15:58.509000,2022-12-04T20:20:10.612064Z,871,C1GK0VPE,836,"Italian, English",26,Male,White,United States,Italy,United States,English,No,Part-Time
